;Quote;Krant;Periode
1125;Ze dagen de baas uit en nemen het initiatief over. Volgens onze theorie kun je dan beter meteen stoppen. Als de hond immers na diverse correcties van de baas de opdracht toch uitvoert en de hondenbezitter reageert enthousiast, wordt de hond beloond voor ongewenst gedrag. Dat moet je te allen tijde voorkomen. Een hond die gezag aanvaardt, zal met zijn linkerpoot beginnen te lopen. De dwarsligger start meestal met rechts.;De Telegraaf;2000-2009
1126;Dit onderzoeksresultaat leert ons iets meer over het gedrag van de hond. We zullen in de toekomst zeker verder onderzoek doen. Overigens houd ik me niet alleen met honden bezig. Het is slechts een onderdeel van mijn werkgebied, maar in ieder geval een leuke manier om werk en hobby te combineren;De Telegraaf;2000-2009
1127;We zijn overdonderd door het resultaat. De theorie blijkt te kloppen. Het resultaat is overduidelijk. We hebben de gegevens statistisch geanalyseerd. Linkspoters zijn inderdaad erg gemotiveerd en rechtspoters zijn dwarsliggers.;De Telegraaf;2000-2009
1128;De proefjes van de site lijken niet helemaal op de oude scheikundedoos, want in zo'n doos zaten reageerbuisjes en stoffen die niet overal vrij te koop waren. De proeven van deze site zijn juist allemaal uit te voeren met doorsnee spullen uit het keukenkastje, of die in elk geval te koop zijn in de supermarkt. Kinderen kunnen de proeven uitvoeren als ze goed kunnen lezen, zeg maar vanaf groep 5. Ze moeten ze van stap tot stap kunnen volgen. We waarschuwen bij de vuurproeven dat het beter is een volwassene het vuur te laten aansteken. Verder kunnen ze zelfstandig aan de gang. En gevaarlijk, ach, je kunt van je fiets vallen en skaten is ook niet zonder gevaar.;De Telegraaf;2000-2009
1129;Er komen best veel reacties, vooral van leerkrachten die het ontzettend leuk vinden dat ze hun leerlingen via onze werkbladen nu al op de basisschool kunnen laten kennismaken met de exacte vakken. En de kinderen vinden het spannend, leuk. Ze ervaren het ook niet als les. Ze ervaren het als spel, als avontuur. Mooier kun je de wetenschap niet ervaren vinden wij.;De Telegraaf;2000-2009
1130;Van de zes universiteiten waar het vak kunstmatige intelligentie kan worden gestudeerd, behaalt alleen de Universiteit Maastricht met projectmatig leren een redelijk rendement.;De Telegraaf;2000-2009
1131;Het is vreemd om te beseffen dat het over een jaar voorbij zal zijn. Ik merk nu al dat ik steeds maar afscheid aan het nemen ben van stukjes van de film, van bepaalde mensen ook. In de zomer mogen we nog een week of vijf bijdraaien, want vanwege het succes hebben de geldschieters toegezegd dat ik alle ruimte krijg om mijn visie te verwezenlijken. Iedereen verheugt zich op dat moment, bijna alsof het om een reuenie gaat. Maar het afscheid zal ditmaal extra moeilijk zijn want een trilogie als deze… nee, dat komt in onze levens nooit meer voor.;De Telegraaf;2000-2009
1132;Peter kwam ons steeds vertellen hoe goed de andere scenes wel geworden waren. Daardoor ontstond er een aardige concurrentiestrijd tussen de verhaallijnen.  Je wilde toch niet onder doen voor een scene met tienduizenden orks! Onze verhaallijn is wat minder spectaculair, maar psychologisch interessanter. Bij ons hebben de computers Gollem tot leven gebracht, en dat is ook werkelijk een wonder om te zien.;De Telegraaf;2000-2009
1133;In deel II zijn de verhaallijnen wat uit elkaar komen te liggen. Twee Hobbits zijn gevangengenomen en bevinden zich nu in het woud. Ik ben samen met Sam en Gollem op weg naar Mordor om de ring te vernietigen, terwijl de andere leden van de Fellowship verwikkeld zijn in die veldslag.;De Telegraaf;2000-2009
1134;Dat was zo'n idioot gezicht. We hadden in de computer een monster gegenereerd en het eerste wat dat ding bedacht was: deserteren! Toen hebben we hem het zicht ontnomen en hem alleen op geluid laten reageren. Door hem iets dommer te maken, ging hij plotseling wel vechten!;De Telegraaf;2000-2009
1135;Op die manier zouden ze allemaal onafhankelijk van elkaar bewegen. Onze eerste instructies aan dat computerleger was dat ze moesten slaan op alles wat bewoog. Het gekke was dat ze daarop allemaal heel hard wegliepen.;De Telegraaf;2000-2009
1136;De afgelopen vijf jaar zijn de kinderen op de tweede plaats gekomen. Dat is niet anders.;De Telegraaf;2000-2009
1137;Ik heb aan alle acteurs gevraagd of ze bereid waren om anderhalf jaar van hun leven te komen werken en wonen in Nieuw-Zeeland en niet eens te denken over andere projecten. Ze hebben allemaal van harte 'ja' gezegd.;De Telegraaf;2000-2009
1138;Toen de Amerikanen geld stopten in ons project dachten ze dat onze digitale studio in een garage in mijn achtertuin was gevestigd. Ze werden helemaal gek toen ze zagen dat wij alleen al voor de computeranimatie een gebouw hebben van 86.000 vierkante meter.;De Telegraaf;2000-2009
1139;Zij is nu thuisgebleven. We hebben heel bewust besloten dat een van ons tweeen geen publieke figuur mag worden. De kinderen moeten nog een beetje een normaal leven leiden.;De Telegraaf;2000-2009
1140;Het is intussen een missie geworden;De Telegraaf;2000-2009
1141;Ik merk nu al dat ik steeds maar afscheid aan het nemen ben van stukjes van de film, van bepaalde mensen ook. In de zomer mogen we nog een week of vijf bijdraaien, want vanwege het succes hebben de geldschieters toegezegd dat ik alle ruimte krijg om mijn visie te verwezenlijken. Iedereen verheugt zich op dat moment, bijna alsof het om een reuenie gaat.;De Telegraaf;2000-2009
1142;We hadden daar de hulp van de computers hard nodig, want zoveel figuranten kun je nooit op de been brengen;De Telegraaf;2000-2009
1143;Maar het afscheid zal ditmaal extra moeilijk zijn want een trilogie als deze… nee, dat komt in onze levens nooit meer voor.;De Telegraaf;2000-2009
1144;Ronduit tegenvallend;De Volkskrant;2000-2009
1145;Bijna laconiek vertelt Hemelrijk over haar heranalyse van het sociale gedrag van chimpansees. Bij statistische toetsing van kruistabellen met daarin uitgezet de waargenomen sociale interacties tussen individuen in de groep blijkt dat vlooigedrag en de vermeende 'coalities' in gevechten evengoed een bijproduct kunnen zijn van de toevallige lichamelijke nabijheid van individuen. Of het resultaat van simpelweg inspringen op kansen om gezamenlijk een sterkere aap aan te vallen. ;De Volkskrant;2000-2009
1146;Apen zijn beslist niet dom, maar moraal en ingewikkelde ruilhandel zijn helemaal niet nodig om hun gedrag te verklaren.;De Volkskrant;2000-2009
1147;Maar zonder de aanname van ethologen dat dieren het centrum van de groep opzoeken om zich te beschermen tegen roofdieren;De Volkskrant;2000-2009
1148;Het verklaart gedrag veel meer vanuit het niveau van het individu.;De Volkskrant;2000-2009
1149;Als er meer wind komt, zegt de computer bijvoorbeeld dat je ballast moet innemen of moet reven. Dat is nieuw, want de meeste schepen hebben hooguit computers voor communicatie en elektronische zeekaarten.;De Volkskrant;2000-2009
1150;Die laatste module is nog niet af. Maar op de terugweg willen we hem wel testen. De computer moet bijvoorbeeld zelfstandig beslissen of hij het weerbericht opvraagt. En hij moet zelf dat bericht analyseren.;De Volkskrant;2000-2009
1151;Ik benader dans vanuit het hoofd, niet vanuit het hart. Ik gebruik geen emoties als vertrekpunt. Mij interesseert vooral de vraag op grond waarvan een lichaam beslissingen neemt. Hoe weet je bijvoorbeeld dat iemand achter je staat;De Volkskrant;2000-2009
1152;Technologie is het nieuwe membraam van het lichaam.;De Volkskrant;2000-2009
1153;En er vliegt nogal wat in een Harry-Potterfilm.;De Volkskrant;2000-2009
1154;Alsof dans alleen maar emotioneel of verhalend ervaren kan worden. Ik ben juist op zoek naar een head-experience. De hersenen zijn ontworpen om modellen te interpreteren. Daarom voed ik ze graag met technologische constructies. Het is conservatief te denken dat technologie niets betekent of geen gevoelens los kan maken. Een choreografie op een klassieke compositie is toch ook maar een abstracte constructie Muziek is één manier om naar dans te kijken, techniek een andere.;De Volkskrant;2000-2009
1155;Echt gevaarlijk wordt Liquid Space nooit.';De Volkskrant;2000-2009
1156;Voor dansers is het lastig omdat ze niet weten wanneer er iets gaat gebeuren. Je denkt dat het ding jou leest, dat er menselijke interactie ontstaat. Maar zonder jou gebeurt er niets. En bij te veel impulsen gaat het ding kalibreren, rusten. Daarop probeer je als danser in te spelen;De Volkskrant;2000-2009
1157;Neem de roltrap. Die start met draaien net voordat je de eerste tree bestijgt. Iedereen kent het gevoel dat je bekruipt wanneer de roltrap het plots niet doet. Die emotie bestond honderd jaar geleden nog niet.;De Volkskrant;2000-2009
1158;Het gaat om co-control: samen iets opbouwen met een onvoorspelbare robot. De angst dat de robot de controle overneemt, is ouderwets, die stamt uit sciencefictionfilms uit de jaren tachtig.;De Volkskrant;2000-2009
1159;Liquid 6.1. slaat alle beweging die hij detecteert op in zijn geheugen. Ik heb hem zo geprogrammeerd dat hij motoriek die hij vaak ziet gaat negeren. Dat is een uitdaging voor dansers. Zij zijn gewend een choreografie exact te herhalen. Liquid heeft juist verandering nodig.;De Volkskrant;2000-2009
1160;Ik probeer met mijn omgevingen de toeschouwers mee te nemen in een letterlijk en figuurlijk bewogen verhaal dat ter plekke associatief wordt verteld.;De Volkskrant;2000-2009
1161;Nu zijn het nog roltrappen, deuren en stoplichten die anticiperen. Maar binnen vijf jaar maak ik met mijn collega's een gebouw dat zich opent waar je maar naar binnen wilt. Eén vaste deur oogt dan ouderwets. Dát noem ik vloeibare architectuur. Muren die door bewegingsdetectie aanvoelen wat er moet gebeuren. En dan laat ik dansers dat gebouw in gebruik nemen.;De Volkskrant;2000-2009
1162;Dat het bewustzijn bestaat, is een populaire misvatting. Er zijn allerlei soorten van bewustzijn, van vis tot kind tot volwassene. De chemische basis is vergelijkbaar, maar de competenties zijn enorm verschillend. Een vis kan niet denken over morgen of over democratie. Hij weet niet eens dat hij een vis is.;De Volkskrant;2000-2009
1163;De evolutie is nooit af;De Volkskrant;2000-2009
1164;Dieren hebben geen bewustzijn zoals wij, maar graden van competenties, geleid door informatie. Het verschil? Mens, hommel, een optische sensor, alledrie zijn ze in staat een botsing met een boom te vermijden. Die competentie delen ze. Alleen mensen kunnen erbij verwijlen, erover nadenken.;De Volkskrant;2000-2009
1165;In principe kunnen we een robot bouwen met een 'menselijk' bewustzijn. De vraag is: op welk niveau van gelijkenis? Vroeger dacht ik dat je het bewustzijn kon ontleden tot steeds lagere intentionele systemen, tot het niveau van neuronen, en dat je die dan door machines kon vervangen. Nu denk ik: ook neuronen zijn intentionele systemen, die weer uit subcellulaire machinerieën bestaan. Software evolueert sneller en gerichter dan hardware. Vergelijk het maar met seksuele selectie. Op kracht staat weinig selectiedruk - ook zwakke dieren kunnen zich voortplanten. Maar als vrouwtjes een voorkeur krijgen voor een lange staart, moèt je als mannetje wel zo'n staart hebben om te scoren. Een voorbeeld bij de mens zijn de vuistbijlen uit het Acheulien, die een miljoen jaar onveranderd bleven. Er is ooit een hele berg van die bijlen gevonden. In perfecte conditie, nooit gebruikt. Waarom? Het waren erotiserende lokkertjes voor een prehistorisch liefdesnestje. Come up and see my etchings!';De Volkskrant;2000-2009
1166;Ons brein verschilt van dat van andere primaten. Niet alleen vanwege de bedrading, de hardware, vooral vanwege de software - de cultureel overgedragen software, moet ik zeggen. Sinds we taal en cultuur hebben, wordt onze evolutie primair door die software gestuurd. Die kneedt het brein en maakt er als het ware een lekker nestje van voor de memen (culturele eenheden - ideeën en gebruiken - die zich door 'besmetting' verspreiden over informatiedragers, vooral menselijke hersenen, red.).;De Volkskrant;2000-2009
1167;Darwinisme is verslavend. Ik ben me de valkuilen bewust. Ik denk aan die oude freudianen tijdens mijn studietijd die je moest uitleggen dat een sigaar soms toch écht een sigaar is. De evolutietheorie heeft één voordeel boven de psychoanalyse: je kunt ermee voorspellen, testen en weerleggen. Ik maak me wel zorgen over de beeldvorming, vanwege al die derderangs populaire evolutionaire psychologie. We moeten aandringen op kwaliteit. Hoewel je naar echte kwaliteit altijd moet zoeken. Dat is de Wet van Sturgeon: '90 procent van alles is gelul.;De Volkskrant;2000-2009
1168;Ik zie alleen maar steeds wanhopiger pogingen om God te beschermen tegen de moderne tijd, vooral internet en het mobieltje. Er is een epidemie van jongeren die de kerk verlaten. De Southern Baptists, een van de belangrijkste kerken in de VS, verwachten dat maar 10 procent van hun jeugd de kerk trouw zal blijven. De islam is wereldwijd de enige godsdienst die groeit. Het secularisme groeit sneller. Er zijn nu 750 miljoen atheïsten in de wereld, tweemaal zoveel als boeddhisten, veertig keer zoveel als joden. Iedereen roept maar dat religie steeds belangrijker wordt. De statistieken wijzen anders uit.;De Volkskrant;2000-2009
1169;Ik was ooit bijna dood, en dat heeft me niet gelovig gemaakt.;De Volkskrant;2000-2009
1170;Dat ik een prachtleven heb gehad. Mensen met minder geluk hebben mogelijk een andere troost nodig. Want wie ben ik om een kind met kanker te vertellen dat er straks niets is? Dat is dus een van de sterkste argumenten voor religie.;De Volkskrant;2000-2009
1171;Zelf ben ik tamelijk conservatief. Mijn auto heeft niet eens een automatische versnelling. Ik vind zelf rijden veel te leuk.;De Volkskrant;2000-2009
1172;Ik negeer het bewustzijn totaal. Ik bouw zombies. Ik wil er niet eens over speculeren, over robots en bewustzijn, want dan ga ik onzin praten, zoals de meeste mensen die over bewustzijn praten. Ik verwacht op korte termijn ook geen vooruitgang op dat gebied. Het zou kunnen dat er op een gegeven moment uit die gelaagde opbouw van mijn robots een soort zelf reflectie ontstaat. Prima. Maar ik ben ingenieur, Ik wil niet echt nadenken over dat soort dingen.;De Volkskrant;2000-2009
1173;Intelligentie zit niet tussen de oren, het zit in interactie. Ook moeders denken altijd dat hun baby's heel slim zijn, maar die reageren ook maar gewoon op impulsen. We zijn stommer dan we denken.;De Volkskrant;2000-2009
1174;De ziel? Laat me niet lachen. Mensen zijn moleculaire biologie. Eiwitten. Het ene eiwit verbindt zich aan het andere, en daar zou dan ineens een ziel uit ontstaan?;De Volkskrant;2000-2009
1175;Ik heb niet echt een emotionele binding met dat soort robots. Ze geven niets om mensen.;De Volkskrant;2000-2009
1176;In de toekomst worden we in het bejaardentehuis door robots verzorgd.;De Volkskrant;2000-2009
1177;Ik negeer het bewustzijn totaal. Ik bouw zombies. Ik wil er niet eens over speculeren, over robots en bewustzijn, want dan ga ik onzin praten, zoals de meeste mensen die over bewustzijn praten. Ik verwacht op korte termijn ook geen vooruitgang op dat gebied. Het zou kunnen dat er op een gegeven moment uit die gelaagde opbouw van mijn robots een soort zelf reflectie ontstaat. Prima. Maar ik ben ingenieur, ik wil niet echt nadenken over dat soort dingen.;De Volkskrant;2000-2009
1178;We worden er allemaal beter van, suggereert Rosenberg.;De Volkskrant;2000-2009
1179;Ook zij begonnen over Lewinsky te publiceren toen het nieuws 'nu eenmaal op straat lag'.;De Volkskrant;2000-2009
1180;Kinderziekten;De Volkskrant;2000-2009
1181;bij de machinefabriek in de loop der jaren een beetje zijn eigen plekje gecreeerd, door zich te storten op software die het spaakgebeuren het computertijdperk binnenloodst.;De Volkskrant;2000-2009
1182;Het is haast geen doen om de machines steeds anders in te stellen', 'terwijl elk type wiel toch op zijn eigen manier moet worden gericht.';De Volkskrant;2000-2009
1183;uit de ruime fietsassemblage-praktijk: wielenbouwers bouwen doorgaans niet een type wiel, maar minimaal enkele tientallen en soms wel honderden.;De Volkskrant;2000-2009
1184;Die strategie is een wetenschappelijk kunstwerkje op zich.;De Volkskrant;2000-2009
1185;Maar het is een klein wereldje, het spaakgebeuren. We vertrouwen helemaal op het me too effect, als het zich eenmaal een beetje rondspreekt.;De Volkskrant;2000-2009
1186;Zo kunnen we vaststellen of de prestatie van de operator omhoog gaat, terwijl de werklast vermindert.;De Volkskrant;2000-2009
1187;Dat moeten we nog uitzoeken. Het technische is niet het probleem. Het werkt allemaal wel. Maar de vraag is of het ook helpt.;De Volkskrant;2000-2009
1188;Veel techneuten denken allereerst dat ze het beeld zo realistisch mogelijk moeten maken, maar ik denk niet dat dat het belangrijkste is.;De Volkskrant;2000-2009
1189;Dat is wel eens lastig. We voelen ons natuurlijk gevlijd door de Amerikaanse belangstelling, maar aan de andere kant rijst de vraag: willen we dit niet voor onszelf houden? We moeten ook aan Europa denken.;De Volkskrant;2000-2009
1190;De mens is een product van miljoenen jaren evolutie. Een rasechte overlever. Denken we nou echt dat we dat in een paar decennia met machines kunnen overtreffen?;De Volkskrant;2000-2009
1191;Als er microfoons in het ding hadden gezeten hadden de operators het gevaar zeker horen aankomen.;De Volkskrant;2000-2009
1192;We willen weten hoe de mens zich gedraagt in een technische omgeving.;De Volkskrant;2000-2009
1193;Ik erger me steeds meer aan ontwerpers die de mens willen reduceren tot een opzichter, iemand die alleen nog maar toekijkt, en aan de hand van beeldschermen controleert of alles wel goed gaat, en zichzelf niet meer ter plekke aanwezig voelt.;De Volkskrant;2000-2009
1194;Maar we moeten onszelf natuurlijk wel nuttig maken voor de computer. Anders worden we opgeruimd, als bacterien met een scheut Glorix.;De Volkskrant;2000-2009
1195;De computer zal de mens voorbijstreven;De Volkskrant;2000-2009
1196;Een computer kan de structuur van een menselijk brein kopieren, met alle kennis en wijsheid die daarbij horen. In de toekomst zal Einstein niet meer doodgaan. Zijn brein wordt opgeslagen in een database. Terwijl een computer kennis uit zo'n database simpelweg kan kopieren, moet de mens zich die moeizaam eigen maken.;De Volkskrant;2000-2009
1197;Als we de baas willen blijven, kunnen we de ontwikkeling van de kunstmatige intelligentie maar beter stoppen;De Volkskrant;2000-2009
1198;Bij de huidige stand van zaken is een computer een idiot savant;De Volkskrant;2000-2009
1199;Neem het uitzoeken van een school voor je kinderen. Je bezoekt drie scholen. Daarbij kijk je misschien naar objectieve gegevens, zoals Cito-scores, maar je kijkt vooral of de docenten aardig zijn, hoe de school eruit ziet, hoe de andere kinderen eruit zien. Vervolgens neem je een beslissing op basis van gevoel. Dat wegen van al die factoren is een activiteit die onze hersenen van nature doen. Een computer is daar juist slecht in.;De Volkskrant;2000-2009
1200;Een intelligente computer heeft computergevoel, terwijl wij mensengevoel hebben. Die lijn kun je nooit oversteken. Een computer heeft geen honger, om maar een voorbeeld te geven, maar behoefte aan stroom. Hij voelt geen pijn, maar heeft sensoren die ervoor zorgen dat hij niet overal tegen opbotst.;De Volkskrant;2000-2009
1201;Net als wij zal zo'n computer op zoek zijn naar beleving, naar een zinvolle invulling van zijn bestaan. Maar wie zegt dat computers erin geinteresseerd zijn om het kabinet te vormen?;De Volkskrant;2000-2009
1202;Ik heb thuis nog ergens een plastic exemplaar. Maar we kunnen natuurlijk kuiltjes in het zand maken en het met kiezeltjes spelen. In Afrika doen ze dat al sinds mensenheugenis.;De Volkskrant;2000-2009
1203;Begin jaren negentig dacht men dat dit zo gepiept zou zijn. Menigeen heeft er sindsdien zijn tanden op stukgebeten;De Volkskrant;2000-2009
1204;Al was het maar omdat we dat met de computer ook nog nooit voor mekaar kregen.;De Volkskrant;2000-2009
1205;Ik zat er geloof ik een kwartier naast.;De Volkskrant;2000-2009
1206;Maar we waren wat huiverig om een claim te leggen. Er hoeft maar een foutje in je database te zitten en je staat compleet voor schut.;De Volkskrant;2000-2009
1207;Per saldo smeer je de werkdruk nog steeds netjes uit over alle processoren in de cluster, maar het gaat wel veel sneller.;De Volkskrant;2000-2009
1208;Ik kijk basketbal, lees, ik heb een vriendin en ga uit met vrienden. Ik leid hetzelfde leven als voorheen, alleen heb ik minder tijd voor alles en iedereen. Maar ik maak geen tachtig uur in de week. Mensen die dat doen, doen iets verkeerd. Die moeten leren delegeren of minder werk aannemen.;De Volkskrant;2000-2009
1209;Ik zou mijn eigen uitgeverij kunnen beginnen zodat ik het ene na het andere onleesbare kutboek kan tikken. Maar ook daar ben ik het type niet voor. Ik verhoog voortdurend mijn eigen standaard om mezelf voor een uitdaging te stellen. Na Para!, mijn romandebuut over een negentienjarige jongen die zich onderdompelt in het Amster damse uitgaansleven, wil ik een boek schrijven dat aanslaat bij een hele brede groep mensen. Heb ik dat gedaan, dan stel ik mezelf weer een ander doel. Ik moet me altijd weer voor mezelf bewijzen. Verdomd vermoeiend. Ik kan soms intens verlangen naar een situatie waarin ik iedere dag uitslaap. Tege lijkertijd weet ik dat ik de oase van rust hoogstwaarschijnlijk voor me uitschuif tot ik doodga. Dus, wat moet ik met dat geld?;De Volkskrant;2000-2009
1210;Vooralsnog ben ik gelukkig. En trots. Vorige week hadden we een bedrijfsetentje. Ik klom op een podium om als een soort stamvader een praatje te houden en keek in een zaal bomvol enthousiaste twintigers. Jezus! Trots is het woord niet. Waanzinnig trots. Niet zozeer op mezelf, vooral op wat wij als jonge mensen collectief bereikt hebben. Maar, en dat zei ik die avond ook tegen mijn collega's, dat wij als loslopend tuig van 25 jaar al die spannende internetprojecten kunnen doen, is mazzel. Puur omdat we in het juiste tijdperk zijn geboren.;De Volkskrant;2000-2009
1211;Als ik het in mijn kop krijg om de komende vijftig jaar tv te gaan kijken, dan hoef ik maar te cashen. Maar dat slaat nergens op. Ik word niet gelukkig van nietsdoen. Mijn lusten zijn altijd een resultaat van de lasten. Pas als ik drie maanden keihard heb gewerkt, kan ik genieten van vakantie. Een week, want dan heb ik vier boeken gelezen, genoeg gedacht en wil ik weer wat doen.;De Volkskrant;2000-2009
1212;Wat ik het moeilijkste vind, is het inbouwen van een paar uurtjes per week voor mezelf. En dat is echt noodzakelijk als je werkt in een branche waarin elke dag zo verschrikkelijk veel gebeurt, dat het lijkt alsof er een week voorbij is gegaan. Wanneer ik geen tijd neem om te evalueren of ik mezelf niet verloochen en nog steeds achter mijn werk sta, komen onherroepelijk de 'waar ben ik in godsnaam met bezig'- vragen. Dan krijg ik het gevoel dat ik word geleefd en neig ik naar onverantwoord gedrag. Ga ik te laat naar bed of kom ik met een kater op het werk. Wat goed werkt op zo'n moment is het laten schieten van een afspraak die voor een ander belangrijk is en zo nodig om negen uur 's ochtends moest plaatsvinden. Ik bel keurig af, hoor, maar ik blijf wel lekker in mijn bed liggen. Dat is een statement voor mezelf: dat ik ook nog egoistisch kan zijn.;De Volkskrant;2000-2009
1213;Als je Rolexen gaat dragen of komt aanstuiven in een Ferrari, dan gaan mensen flippen. Ik heb niet eens een rijbewijs en dit shirt kost tachtig piek. Mensen kunnen maanden met me omgaan voordat ze doorhebben dat eenderde van NetlinQ van mij is. Ik merk niets van afgunst, maar ik kan me voorstellen dat dit gevoel bij sommige collega's aanwezig is. Want jeetje, een jongen van 25 die goed is voor zo'n twintig miljoen. Dat is volslagen belachelijk, natuurlijk. Al heb ik nog zo hard gewerkt en zoveel mensen ge inspi reerd, dit bedrag staat in geen verhouding tot wat ik doe. En als ik naar mijn vrienden kijk die leven van een studiebeurs, denk ik: dit is echt scheef. Gelukkig weten diezelfde vrienden dat ik niet veranderd ben.;De Volkskrant;2000-2009
1214;Ik ben echt een kind van mijn tijd. Als ik tv kijk, weet ik na een blik op het decor of ik het een interessant programma vind. Zo niet, dan zap ik. Binnen vijf minuten weet ik of een sollicitant in het bedrijf past. Mijn generatie is extreem goed in het snel beslissen op basis van gevoel. Dat komt omdat wij zijn opgegroeid met een overweldigende hoeveelheid informatie en intuitie als de noodzakelijke filter gebruiken. In de internetwereld is er geen tijd om rationele afwegingen te maken. Die wereld ontwikkelt zich zo razendsnel dat alles wat vandaag een feit is, morgen weer anders kan zijn. Wie wil slagen in deze branche moet alle zekerheden kunnen loslaten en de weg inslaan die juist voelt. Ik kan dat, en ik beschik over een goed richtingsgevoel, maar dit succes had ik niet voorzien.;De Volkskrant;2000-2009
1215;Het is natuurlijk een jongensdroom. Met twee vrienden een bedrijfje beginnen en succesvol worden in hetgeen je leuk vindt. Ik kan heel mijn ziel en zaligheid kwijt in internet - het is zo'n spannende wereld. Zeker nu de taken zijn verdeeld onder vijf directeuren en ik in staat ben om te participeren in de projecten die ik leuk vind.;De Volkskrant;2000-2009
1216;We gaan investeren, en dat is nodig.;De Volkskrant;2000-2009
1217;Het begon als een bijbaantje. Ik was twintig en na twee jaar gestopt met de gekmakende theoretische studies Artificiele Intelligentie en Engels. Ik vind denken oke, maar het moet wel in verhouding staan tot concrete resultaten. Het was tijd om iets te doen. Als kind wilde ik al schrijver worden en ik besloot aan een roman te beginnen. Maar hallo? Inkomsten? Toen ontstond het idee om websites te bouwen. Op die manier zou ik de kennis over internet die ik had opgedaan aan de universiteit te gelde maken, althans een poging wagen. Ik ging van start met een studiegenoot in een studentenkamer, en het eerste jaar had ik alle tijd om te schrijven, want ons bedrijf liep voor geen meter. Vijf jaar geleden werd er nauwelijks nog geinvesteerd in internet. Aangezien wij geen enkel contact hadden in het bedrijfsleven was het wachten tot iemand reageerde op de aange-boden diensten op onze eigen site. Totdat een vriend zich bij ons aansloot. Hij wilde wel mee pionieren en bracht de eerste klanten binnen. Kennissen van kennissen en obscure verenigingen.;De Volkskrant;2000-2009
1218;Ik neem alle beslissingen op basis van mijn intuitie.;De Volkskrant;2000-2009
1219;Ik deel nog steeds liever complimenten uit, maar ik heb het nooit moeilijk gevonden om leiding te geven. Dat komt omdat ik vanaf dag een de hele familie om me heen heb verzameld en ik sta voor dit bedrijf. NetlinQ kent geen hierarchie. We hebben een open werkvloer. Zo'n structuur past beter bij onze generatie en bij deze branche. In de jonge internetwereld waarin elke zekerheid ontbreekt, is het belangrijk om de aanwezige kennis onderling te delen, en zijn mensen afhankelijk van elkaars kennis. Dus gelijkwaardigheid is absoluut noodzakelijk. Ik onderscheid me niet door een pak of een afgezonderde plek. Ik ben gewoon Jacob, een meewerkend voorman.;De Volkskrant;2000-2009
1220;is het zo mogelijk computers teksten te laten begrijpen en ernaar te laten handelen;De Volkskrant;2000-2009
1221;Het zou geweldig zijn als we ook via ons gezicht met computers kunnen communiceren. Dat een computer weet of we vrolijk, chagrijnig, ontevreden zijn of dreigen in slaap te vallen.;De Volkskrant;2000-2009
1222;Maar het moeilijkste was het kiezen van de geschiktste methode en het systeem dat ik zou gaan bouwen.;De Volkskrant;2000-2009
1223;Een deel van onze kennis over gezichtsuitdrukkingen is erfelijk bepaald en al bij baby's aanwezig, een deel is ervaring en een deel zijn regels die je worden geleerd.;De Volkskrant;2000-2009
1224;Met filosofie of het schrijven van boeken valt echter niets te verdienen. Toen ben ik maar wiskunde gaan studeren, dat leek het meest op filosofie.;De Volkskrant;2000-2009
1225;Nee, nee, eenzaam was ik niet. Mijn familie woonde hier, mijn vriend en mijn collega's. Ik vond het gewoon verschrikkelijk leuk werk. Het herkennen van gezichten door computers is vrij nieuw. Het eerste wetenschappelijke artikel erover verscheen in 1991, het tweede in 1995 en pas nog later kwam het onderzoek een beetje op gang. De meeste onderzoekers werken aan de synthese van gezichtsuitdrukkingen, zoals voor animaties. Ik werk juist aan het herkennen ervan.;De Volkskrant;2000-2009
1226;Alles komt in het onderwerp samen.;De Volkskrant;2000-2009
1227;Denkbaar en dus wenselijk;De Volkskrant;2000-2009
1228;Ook als je traint of studeert beïnvloed je je genen;De Volkskrant;2000-2009
1229;Ook over reageerbuisbaby's was destijds veel bezorgdheid. Wat zou het voor een baby betekenen als hij niet in de baarmoeder werd geconcipieerd Met genetische manipulatie doorlopen we nu hetzelfde ritueel: de eerste reflex is altijd negatief, daarna beginnen mensen aan het idee te wennen en ten slotte vinden ze het vanzelfsprekend.;De Volkskrant;2000-2009
1230;Hetzelfde geldt voor intelligentie. Ouders doen er alles aan om de cognitieve vermogens van hun kinderen te stimuleren. Ze zorgen dat hun kind zo goed mogelijk onderwijs krijgt. Dat is niet alleen omdat ze hopen dat hun kind het ver schopt. Het is ook prettig om intelligent te zijn. Waarom zou verbetering langs technologische weg dan taboe zijn Natuurlijk moet iedereen over de technologie kunnen beschikken. Anders neemt de sociale ongelijkheid toe.;De Volkskrant;2000-2009
1231;Zeker. Er wordt nu veel onderzoek gedaan naar ziekten als kanker en Alzheimer. Maar stel dat we het verouderingsproces kunnen vertragen. We zouden minder snel ziek worden en onze levensverwachting kunnen verdubbelen.;De Volkskrant;2000-2009
1232;Ik erken overigens dat er ook gevaren zijn aan nieuwe technologieën. Mijn instituut doet ook onderzoek naar de kans op een mondiale catastrofe. Als nanotechnologie verder wordt ontwikkeld - het is overigens nog de vraag of dat ooit zal lukken - kun je atomen manipuleren. Dat betekent dat je bijvoorbeeld tumoren uit weefsel kunt verwijderen. Maar je kan ook een virus creëren waarmee de mensheid wordt uitgeroeid.;De Volkskrant;2000-2009
